origin_zone,dest_zone,motive,motive_name,trips,o_lon,o_lat,d_lon,d_lat
1,35,3,Trabalho Serviços,3563,-46.63192,-23.55239,-46.64081,-23.5331
341,2,8,Residência,3563,-46.70776,-23.57636,-46.6315,-23.54802
2,3,8,Residência,3563,-46.6324,-23.54475,-46.63091,-23.55351
3,3,4,Educação,3563,-46.62896,-23.55311,-46.629,-23.55449
2,3,8,Residência,3563,-46.63207,-23.54237,-46.62823,-23.55291
5,3,8,Residência,3563,-46.63832,-23.54688,-46.63135,-23.55521
31,4,8,Residência,3563,-46.65082,-23.55139,-46.64584,-23.54969
4,429,3,Trabalho Serviços,3563,-46.64303,-23.55084,-46.52828,-23.66334
94,4,8,Residência,3563,-46.68173,-23.52567,-46.64605,-23.55026
319,4,8,Residência,3563,-46.69831,-23.59858,-46.64477,-23.55064
1,4,8,Residência,3563,-46.63648,-23.5469,-46.63833,-23.55088
4,79,6,Saúde,3563,-46.64238,-23.55207,-46.66637,-23.55736
128,4,8,Residência,3563,-46.62623,-23.5063,-46.64101,-23.54961
4,208,10,Assuntos Pessoais,3563,-46.64115,-23.55325,-46.54738,-23.55253
4,340,11,Refeição,3563,-46.64384,-23.5486,-46.72516,-23.55457
26,4,3,Trabalho Serviços,3563,-46.64468,-23.55523,-46.64724,-23.54786
26,4,8,Residência,3563,-46.64407,-23.56027,-46.63922,-23.55405
23,4,8,Residência,3563,-46.63988,-23.5666,-46.63922,-23.55405
4,4,8,Residência,3563,-46.63944,-23.55384,-46.64027,-23.5532
4,166,4,Educação,3563,-46.63958,-23.54862,-46.5618,-23.54242
87,4,8,Residência,3563,-46.68697,-23.54105,-46.64212,-23.55081
88,4,8,Residência,3563,-46.67676,-23.53275,-46.64248,-23.54814
4,4,8,Residência,3563,-46.6402,-23.55385,-46.63994,-23.55425
4,4,4,Educação,3563,-46.63994,-23.55425,-46.6402,-23.55385
4,4,8,Residência,3563,-46.64148,-23.551,-46.64124,-23.54859
369,4,8,Residência,3563,-46.54823,-23.46564,-46.64298,-23.55239
500,500,3,Trabalho Serviços,3563,-46.76637,-23.54146,-46.76945,-23.53991
5,3,10,Assuntos Pessoais,3563,-46.6438,-23.54482,-46.63378,-23.55265
4,2,5,Compras,3563,-46.63958,-23.54862,-46.63209,-23.54237
2,4,8,Residência,3563,-46.63209,-23.54237,-46.63958,-23.54862
82,82,11,Refeição,3563,-46.69031,-23.5678,-46.69387,-23.5622
4,92,2,Trabalho Comércio,3563,-46.64067,-23.55206,-46.66433,-23.52203
92,92,11,Refeição,3563,-46.66433,-23.52203,-46.66055,-23.52263
5,93,10,Assuntos Pessoais,3563,-46.64564,-23.54673,-46.66745,-23.52549
5,25,3,Trabalho Serviços,3563,-46.64238,-23.54432,-46.64859,-23.55408
5,31,4,Educação,3563,-46.64397,-23.54633,-46.65349,-23.54985
5,5,2,Trabalho Comércio,3563,-46.64428,-23.54133,-46.64533,-23.54042
5,31,3,Trabalho Serviços,3563,-46.6463,-23.54551,-46.65619,-23.5527
31,5,8,Residência,3563,-46.65349,-23.54985,-46.64614,-23.54179
5,167,10,Assuntos Pessoais,3563,-46.64554,-23.53948,-46.57601,-23.54034
107,5,8,Residência,3563,-46.72613,-23.52868,-46.63914,-23.54656
6,35,4,Educação,3563,-46.64194,-23.53679,-46.6426,-23.53124
35,6,8,Residência,3563,-46.64872,-23.54165,-46.64214,-23.54022
2,6,8,Residência,3563,-46.63089,-23.54774,-46.63725,-23.53943
6,6,3,Trabalho Serviços,3563,-46.64135,-23.53973,-46.64047,-23.54063
6,18,3,Trabalho Serviços,3563,-46.64442,-23.53859,-46.61495,-23.55871
18,133,11,Refeição,3563,-46.61495,-23.55871,-46.62814,-23.5023
6,6,2,Trabalho Comércio,3563,-46.64191,-23.5396,-46.6386,-23.53912
134,6,8,Residência,3563,-46.63252,-23.49041,-46.64167,-23.53605
35,6,8,Residência,3563,-46.64515,-23.52887,-46.64005,-23.53556
7,7,8,Residência,3563,-46.63648,-23.5277,-46.63503,-23.52861
7,7,5,Compras,3563,-46.62767,-23.53092,-46.63249,-23.53232
340,7,8,Residência,3563,-46.72578,-23.55845,-46.63689,-23.52936
43,7,8,Residência,3563,-46.59431,-23.54789,-46.63158,-23.53561
2,7,8,Residência,3563,-46.63134,-23.54684,-46.63103,-23.53564
62,7,8,Residência,3563,-46.64921,-23.59203,-46.63103,-23.53564
36,7,8,Residência,3563,-46.65325,-23.53255,-46.62757,-23.53591
8,8,8,Residência,3563,-46.65082,-23.5225,-46.64128,-23.52077
8,8,4,Educação,3563,-46.64976,-23.52421,-46.65082,-23.5225
8,113,3,Trabalho Serviços,3563,-46.65148,-23.52123,-46.76011,-23.50304
9,8,8,Residência,3563,-46.63124,-23.52863,-46.65017,-23.521
42,8,8,Residência,3563,-46.60849,-23.53736,-46.65017,-23.521
9,56,4,Educação,3563,-46.62914,-23.5225,-46.64715,-23.58817
9,76,3,Trabalho Serviços,3563,-46.63418,-23.52788,-46.66427,-23.57283
13,11,8,Residência,3563,-46.62022,-23.53791,-46.60893,-23.5254
6,12,8,Residência,3563,-46.63662,-23.54043,-46.62295,-23.53306
12,12,3,Trabalho Serviços,3563,-46.61522,-23.52975,-46.61493,-23.52966
12,6,3,Trabalho Serviços,3563,-46.62459,-23.53353,-46.63785,-23.53866
12,12,3,Trabalho Serviços,3563,-46.62407,-23.53091,-46.62056,-23.53271
12,14,4,Educação,3563,-46.61705,-23.53528,-46.61271,-23.53746
12,12,3,Trabalho Serviços,3563,-46.61341,-23.52604,-46.61338,-23.52558
12,12,8,Residência,3563,-46.62243,-23.52914,-46.61341,-23.52604
68,12,8,Residência,3563,-46.68623,-23.59131,-46.61404,-23.52645
43,14,8,Residência,3563,-46.59778,-23.55131,-46.6137,-23.54101
14,14,8,Residência,3563,-46.61271,-23.53746,-46.61171,-23.53955
218,15,8,Residência,3563,-46.49172,-23.55228,-46.60778,-23.54447
15,13,2,Trabalho Comércio,3563,-46.60932,-23.54513,-46.62164,-23.53658
15,221,2,Trabalho Comércio,3563,-46.61284,-23.54548,-46.5085,-23.56315
41,15,8,Residência,3563,-46.60334,-23.53996,-46.61203,-23.54472
15,66,3,Trabalho Serviços,3563,-46.60855,-23.54539,-46.66324,-23.61057
15,152,3,Trabalho Serviços,3563,-46.60855,-23.54539,-46.60781,-23.48901
16,340,4,Educação,3563,-46.62308,-23.55002,-46.72041,-23.55862
16,5,3,Trabalho Serviços,3563,-46.62195,-23.55016,-46.63943,-23.54698
45,16,8,Residência,3563,-46.60391,-23.55505,-46.61757,-23.54672
16,16,8,Residência,3563,-46.62173,-23.54624,-46.62112,-23.54667
16,16,8,Residência,3563,-46.62173,-23.54624,-46.62112,-23.54667
16,144,2,Trabalho Comércio,3563,-46.61303,-23.55417,-46.62917,-23.48128
16,172,10,Assuntos Pessoais,3563,-46.61896,-23.54875,-46.52145,-23.51843
172,16,8,Residência,3563,-46.52145,-23.51843,-46.61896,-23.54875
16,45,5,Compras,3563,-46.62008,-23.54972,-46.60211,-23.55417
16,18,4,Educação,3563,-46.62008,-23.54972,-46.61541,-23.56111
16,210,3,Trabalho Serviços,3563,-46.62008,-23.54972,-46.56573,-23.55883
16,168,3,Trabalho Serviços,3563,-46.61955,-23.54782,-46.57524,-23.53858
78,16,8,Residência,3563,-46.66768,-23.56723,-46.61734,-23.55236
72,23,4,Educação,3563,-46.69596,-23.62355,-46.6383,-23.56411
16,17,8,Residência,3563,-46.62015,-23.54791,-46.6254,-23.5446
17,32,4,Educação,3563,-46.621,-23.54416,-46.65898,-23.55646
